Id,Label,Category,#photos,#videos,#replies,#retweets,#likes
1,colakrengin,Other,0,0,0,0,1
2,umutdaldal_,Person,0,1,0,0,1
3,silayimdir,Other,0,0,0,0,11
4,elaziggm,Other,0,1,0,19,114
5,ozgur2277,Other,1,0,0,0,0
6,yildirimserhat_,Other,0,0,0,1,4
7,kentmagdurlar,Other,0,0,0,0,0
8,muhamme99436948,Other,0,0,0,0,0
9,mucize_rte,Other,0,0,0,1,5
10,ilhmkrc66,Other,0,0,2,0,16
11,perihankedi,Other,1,0,0,0,0
12,arsunoglu,Other,1,0,0,1,1
13,ahmet75,Person,0,0,0,0,1
14,_1905_ultras,Other,0,1,6,9,620
15,ozfinansis_antt,Other,0,0,0,1,1
16,emineyesil72,Other,0,0,0,0,0
17,kenagil,Other,0,0,0,0,0
18,sezeringilizce,Other,1,0,0,0,2
19,ceerennnn_,Other,0,0,0,0,1
20,svstalha,Other,1,0,1,2,16
21,ejdersari33,Other,0,0,3,4,8
22,yilmaz_0606,Other,0,0,0,1,0
23,diyekonustu_com,Other,0,0,0,0,1
24,emregkky40,Person,1,0,0,0,3
25,denizengelhardt,Person,1,0,0,3,2
26,gzdefb1907,Other,0,1,0,0,0
27,soylu_turkbeyi,Other,1,0,0,4,6
28,elestirenadam1,Other,0,0,0,0,1
29,nejdetvarsak,Person,0,1,0,0,5
30,dante_licona,Other,0,1,0,12,56
31,trconsulchicago,Other,0,0,0,0,0
32,yobazelf2,Other,0,0,0,0,0
33,adalet_onlisans,Other,0,0,1,0,1
34,muhammedsmsk27,Person,1,0,0,0,0
35,bedistemiz,Other,1,0,0,0,4
36,selamiaykut,Other,1,0,0,2,6
37,celikibrahimm,Person,1,0,0,0,0
38,ak_sarac,Other,1,0,0,4,48
39,orhanbgcyenihe1,Person,0,0,0,1,0
40,mttakar,Other,0,0,0,0,0
41,chimborazomnt,Other,0,0,0,0,1
42,balkangospodica,Other,1,0,1,0,1
43,cahit_celayir,Other,0,1,0,0,1
44,aslmrl,Other,0,0,0,0,2
45,furkankduran,Person,0,0,0,0,0
46,ferhatsavram,Other,1,0,0,0,0
47,sosyal_teyze,Other,0,0,0,0,0
48,marianogiustino,Other,0,0,0,1,0
49,mmd_dogan,Other,0,0,1,2,21
50,ptececyr,Person,1,0,0,0,3
51,portakalhanim62,Other,0,0,0,0,3
52,dagtekinkadir,Other,0,1,0,0,0
53,elazigonline,Other,0,0,0,0,5
54,yasarumeyr,Other,0,0,0,0,0
55,erisaydin,Other,0,0,0,2,3
56,erzin_cann24,Person,0,0,0,0,0
57,r75_d,Other,0,0,0,0,0
58,adanalinuray,Person,0,0,0,0,2
59,harundere1613,Other,1,0,0,1,4
60,hamzame13,Other,0,0,0,0,2
61,akbultneslhan,Other,0,0,0,1,12
62,alp25439554,Other,0,1,1,1,3
63,hsoylemez0244,Other,1,0,0,18,95
64,firatsukusu,Other,1,0,0,0,8
65,aleyna87563090,Other,0,0,0,0,0
66,salimazak,Person,0,1,0,0,0
67,esinnn67659574,Other,0,0,0,0,1
68,cnk_ozz,Other,1,0,0,0,11
69,cumhuruittifak,Other,0,0,0,0,0
70,f27kokofficial,Other,0,0,0,0,1
71,ibrahimn66,Person,1,0,0,0,13
72,oasadikoglu,Other,1,0,0,3,30
73,yorukbeyitamer,Other,0,0,0,0,2
74,vahdetivcud,Other,1,0,0,0,1
75,marifethanee,Other,0,0,0,0,0
76,imambakirukus,Other,1,0,0,4,14
77,ozcanburak,Person,0,0,0,1,4
78,etzel23,Other,0,0,0,0,0
79,istanbulgercegi,Other,1,0,0,5,6
80,marti02956561,Other,0,1,0,6,54
81,ereneyupogllari,Other,1,0,0,0,1
82,binnurfeyizli,Other,0,0,0,0,0
83,keremrahman,Other,0,0,0,0,1
84,buresu71,Other,0,0,0,0,0
85,akguleser,Other,0,0,1,0,0
86,tumaniamam,Other,1,0,0,1,6
87,ozlen_vehbi,Other,1,0,0,0,31
88,mutlu_nursen,Other,1,0,1,0,1
89,selami_gltekin5,Other,1,0,3,24,89
90,musakacmazz,Other,0,0,0,2,4
91,esyelnoa,Other,0,0,1,2,5
92,ali53675785,Person,0,0,0,0,2
93,dytsenaisler,Other,0,0,0,0,3
94,myalcinkaya57,Other,0,0,0,0,6
95,ofliyum,Other,1,0,0,0,1
96,senvefas,Other,1,0,0,6,13
97,denizakdogn,Person,1,0,1,0,5
98,oznurcalik,Person,0,0,12,120,638
